"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"EMPLOYMENT STATUS","","","",""
"    Population 16 years and over","259,662,880","±17,193","259,662,880","(X)"
"        In labor force","164,629,492","±147,322","63.4%","±0.1"
"            Civilian labor force","163,555,585","±141,297","63.0%","±0.1"
"                Employed","154,842,185","±156,341","59.6%","±0.1"
"                Unemployed","8,713,400","±27,419","3.4%","±0.1"
"            Armed Forces","1,073,907","±9,836","0.4%","±0.1"
"        Not in labor force","95,033,388","±136,282","36.6%","±0.1"
"    Civilian labor force","163,555,585","±141,297","163,555,585","(X)"
"        Unemployment Rate","(X)","(X)","5.3%","±0.1"
"    Females 16 years and over","133,005,998","±10,619","133,005,998","(X)"
"        In labor force","77,750,312","±82,130","58.5%","±0.1"
"            Civilian labor force","77,596,212","±81,616","58.3%","±0.1"
"                Employed","73,536,561","±86,957","55.3%","±0.1"
"    Own children of the householder under 6 years","22,727,705","±16,834","22,727,705","(X)"
"        All parents in family in labor force","15,039,449","±37,001","66.2%","±0.1"
"    Own children of the householder 6 to 17 years","46,961,939","±19,561","46,961,939","(X)"
"        All parents in family in labor force","33,564,066","±45,339","71.5%","±0.1"
"COMMUTING TO WORK","","","",""
"    Workers 16 years and over","152,735,781","±170,067","152,735,781","(X)"
"        Car, truck, or van -- drove alone","116,584,507","±125,685","76.3%","±0.1"
"        Car, truck, or van -- carpooled","13,763,532","±81,680","9.0%","±0.1"
"        Public transportation (excluding taxicab)","7,641,160","±21,502","5.0%","±0.1"
"        Walked","4,073,891","±14,003","2.7%","±0.1"
"        Other means","2,774,115","±15,258","1.8%","±0.1"
"        Worked from home","7,898,576","±27,244","5.2%","±0.1"
"        Mean travel time to work (minutes)","26.9","±0.1","(X)","(X)"
"OCCUPATION","","","",""
"    Civilian employed population 16 years and over","154,842,185","±156,341","154,842,185","(X)"
"        Management, business, science, and arts occupations","59,647,283","±287,496","38.5%","±0.1"
"        Service occupations","27,489,501","±96,491","17.8%","±0.1"
"        Sales and office occupations","33,491,626","±63,729","21.6%","±0.1"
"        Natural resources, construction, and maintenance occupations","13,713,796","±60,921","8.9%","±0.1"
"        Production, transportation, and material moving occupations","20,499,979","±56,937","13.2%","±0.1"
"INDUSTRY","","","",""
"    Civilian employed population 16 years and over","154,842,185","±156,341","154,842,185","(X)"
"        Agriculture, forestry, fishing and hunting, and mining","2,743,687","±15,918","1.8%","±0.1"
"        Construction","10,207,602","±52,904","6.6%","±0.1"
"        Manufacturing","15,651,460","±38,451","10.1%","±0.1"
"        Wholesale trade","4,016,566","±15,024","2.6%","±0.1"
"        Retail trade","17,267,009","±32,263","11.2%","±0.1"
"        Transportation and warehousing, and utilities","8,305,602","±22,698","5.4%","±0.1"
"        Information","3,114,222","±18,098","2.0%","±0.1"
"        Finance and insurance, and real estate and rental and leasing","10,151,206","±40,245","6.6%","±0.1"
"        Professional, scientific, and management, and administrative and waste management services","17,924,655","±44,339","11.6%","±0.1"
"        Educational services, and health care and social assistance","35,840,954","±135,153","23.1%","±0.1"
"        Arts, entertainment, and recreation, and accommodation and food services","14,962,299","±61,667","9.7%","±0.1"
"        Other services, except public administration","7,522,777","±24,740","4.9%","±0.1"
"        Public administration","7,134,146","±43,253","4.6%","±0.1"
"CLASS OF WORKER","","","",""
"    Civilian employed population 16 years and over","154,842,185","±156,341","154,842,185","(X)"
"        Private wage and salary workers","124,146,145","±69,906","80.2%","±0.1"
"        Government workers","21,250,767","±132,132","13.7%","±0.1"
"        Self-employed in own not incorporated business workers","9,170,625","±28,114","5.9%","±0.1"
"        Unpaid family workers","274,648","±4,241","0.2%","±0.1"
