"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"EMPLOYMENT STATUS","","","",""
"    Population 16 years and over","267,393,519","±19,739","267,393,519","(X)"
"        In labor force","169,855,626","±129,925","63.5%","±0.1"
"            Civilian labor force","168,567,852","±130,067","63.0%","±0.1"
"                Employed","159,808,535","±154,654","59.8%","±0.1"
"                Unemployed","8,759,317","±37,364","3.3%","±0.1"
"            Armed Forces","1,287,774","±8,970","0.5%","±0.1"
"        Not in labor force","97,537,893","±120,766","36.5%","±0.1"
"    Civilian labor force","168,567,852","±130,067","168,567,852","(X)"
"        Unemployment Rate","(X)","(X)","5.2%","±0.1"
"    Females 16 years and over","136,107,005","±12,731","136,107,005","(X)"
"        In labor force","80,110,556","±78,261","58.9%","±0.1"
"            Civilian labor force","79,900,615","±78,555","58.7%","±0.1"
"                Employed","75,788,416","±85,719","55.7%","±0.1"
"    Own children of the householder under 6 years","21,899,788","±20,163","21,899,788","(X)"
"        All parents in family in labor force","14,828,467","±40,100","67.7%","±0.2"
"    Own children of the householder 6 to 17 years","47,912,145","±25,325","47,912,145","(X)"
"        All parents in family in labor force","34,711,764","±59,424","72.4%","±0.1"
"COMMUTING TO WORK","","","",""
"    Workers 16 years and over","157,645,183","±166,534","157,645,183","(X)"
"        Car, truck, or van -- drove alone","110,653,318","±98,643","70.2%","±0.1"
"        Car, truck, or van -- carpooled","13,405,895","±59,144","8.5%","±0.1"
"        Public transportation (excluding taxicab)","5,528,841","±19,922","3.5%","±0.1"
"        Walked","3,785,388","±18,195","2.4%","±0.1"
"        Other means","3,004,368","±17,146","1.9%","±0.1"
"        Worked from home","21,267,373","±54,435","13.5%","±0.1"
"        Mean travel time to work (minutes)","26.6","±0.1","(X)","(X)"
"OCCUPATION","","","",""
"    Civilian employed population 16 years and over","159,808,535","±154,654","159,808,535","(X)"
"        Management, business, science, and arts occupations","67,078,603","±313,679","42.0%","±0.2"
"        Service occupations","26,378,165","±95,602","16.5%","±0.1"
"        Sales and office occupations","31,858,939","±47,786","19.9%","±0.1"
"        Natural resources, construction, and maintenance occupations","13,717,675","±62,970","8.6%","±0.1"
"        Production, transportation, and material moving occupations","20,775,153","±55,479","13.0%","±0.1"
"INDUSTRY","","","",""
"    Civilian employed population 16 years and over","159,808,535","±154,654","159,808,535","(X)"
"        Agriculture, forestry, fishing and hunting, and mining","2,552,148","±17,438","1.6%","±0.1"
"        Construction","11,064,175","±55,552","6.9%","±0.1"
"        Manufacturing","15,912,421","±43,634","10.0%","±0.1"
"        Wholesale trade","3,678,210","±18,935","2.3%","±0.1"
"        Retail trade","17,368,629","±44,155","10.9%","±0.1"
"        Transportation and warehousing, and utilities","9,373,191","±27,501","5.9%","±0.1"
"        Information","2,998,298","±18,809","1.9%","±0.1"
"        Finance and insurance, and real estate and rental and leasing","10,673,893","±39,337","6.7%","±0.1"
"        Professional, scientific, and management, and administrative and waste management services","19,763,960","±53,906","12.4%","±0.1"
"        Educational services, and health care and social assistance","37,381,621","±128,147","23.4%","±0.1"
"        Arts, entertainment, and recreation, and accommodation and food services","14,010,750","±52,581","8.8%","±0.1"
