"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"EMPLOYMENT STATUS","","","",""
"    Population 16 years and over","257,754,872","±16,354","257,754,872","(X)"
"        In labor force","163,276,329","±146,596","63.3%","±0.1"
"            Civilian labor force","162,248,196","±138,887","62.9%","±0.1"
"                Employed","152,739,884","±153,838","59.3%","±0.1"
"                Unemployed","9,508,312","±26,713","3.7%","±0.1"
"            Armed Forces","1,028,133","±10,607","0.4%","±0.1"
"        Not in labor force","94,478,543","±137,122","36.7%","±0.1"
"    Civilian labor force","162,248,196","±138,887","162,248,196","(X)"
"        Unemployment Rate","(X)","(X)","5.9%","±0.1"
"    Females 16 years and over","132,055,545","±10,961","132,055,545","(X)"
"        In labor force","77,040,919","±81,316","58.3%","±0.1"
"            Civilian labor force","76,896,850","±80,532","58.2%","±0.1"
"                Employed","72,470,194","±87,333","54.9%","±0.1"
"    Own children of the householder under 6 years","22,855,584","±16,023","22,855,584","(X)"
"        All parents in family in labor force","14,994,766","±36,846","65.6%","±0.1"
"    Own children of the householder 6 to 17 years","47,018,205","±21,939","47,018,205","(X)"
"        All parents in family in labor force","33,401,522","±46,670","71.0%","±0.1"
"COMMUTING TO WORK","","","",""
"    Workers 16 years and over","150,571,044","±169,078","150,571,044","(X)"
"        Car, truck, or van -- drove alone","115,095,765","±118,932","76.4%","±0.1"
"        Car, truck, or van -- carpooled","13,671,979","±74,546","9.1%","±0.1"
"        Public transportation (excluding taxicab)","7,602,145","±20,673","5.0%","±0.1"
"        Walked","4,049,677","±16,651","2.7%","±0.1"
"        Other means","2,728,545","±13,722","1.8%","±0.1"
"        Worked at home","7,422,933","±21,167","4.9%","±0.1"
"        Mean travel time to work (minutes)","26.6","±0.1","(X)","(X)"
"OCCUPATION","","","",""
"    Civilian employed population 16 years and over","152,739,884","±153,838","152,739,884","(X)"
"        Management, business, science, and arts occupations","57,945,862","±267,094","37.9%","±0.1"
"        Service occupations","27,272,863","±90,437","17.9%","±0.1"
"        Sales and office occupations","33,711,613","±64,311","22.1%","±0.1"
"        Natural resources, construction, and maintenance occupations","13,553,675","±53,594","8.9%","±0.1"
"        Production, transportation, and material moving occupations","20,255,871","±54,401","13.3%","±0.1"
"INDUSTRY","","","",""
"    Civilian employed population 16 years and over","152,739,884","±153,838","152,739,884","(X)"
"        Agriculture, forestry, fishing and hunting, and mining","2,793,463","±14,978","1.8%","±0.1"
"        Construction","9,874,923","±49,224","6.5%","±0.1"
"        Manufacturing","15,550,889","±41,148","10.2%","±0.1"
"        Wholesale trade","4,025,876","±15,340","2.6%","±0.1"
"        Retail trade","17,240,297","±35,706","11.3%","±0.1"
"        Transportation and warehousing, and utilities","7,984,110","±21,748","5.2%","±0.1"
"        Information","3,164,287","±16,852","2.1%","±0.1"
"        Finance and insurance, and real estate and rental and leasing","10,015,304","±38,277","6.6%","±0.1"
"        Professional, scientific, and management, and administrative and waste management services","17,455,119","±41,102","11.4%","±0.1"
"        Educational services, and health care and social assistance","35,293,449","±133,212","23.1%","±0.1"
"        Arts, entertainment, and recreation, and accommodation and food services","14,800,927","±60,365","9.7%","±0.1"
"        Other services, except public administration","7,461,333","±20,053","4.9%","±0.1"
"        Public administration","7,079,907","±39,429","4.6%","±0.1"
"CLASS OF WORKER","","","",""
"    Civilian employed population 16 years and over","152,739,884","±153,838","152,739,884","(X)"
"        Private wage and salary workers","122,471,514","±71,087","80.2%","±0.1"
"        Government workers","20,917,453","±120,330","13.7%","±0.1"
"        Self-employed in own not incorporated business workers","9,097,809","±24,486","6.0%","±0.1"
"        Unpaid family workers","253,108","±3,639","0.2%","±0.1"
"INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)","","","",""
"    Total households","119,730,128","±232,429","119,730,128","(X)"
"        Less than $10,000","7,584,305","±18,464","6.3%","±0.1"
"        $10,000 to $14,999","5,507,051","±15,243","4.6%","±0.1"
"        $15,000 to $24,999","11,146,961","±22,081","9.3%","±0.1"
"        $25,000 to $34,999","11,117,434","±22,162","9.3%","±0.1"
"        $35,000 to $49,999","15,124,821","±27,990","12.6%","±0.1"
"        $50,000 to $74,999","20,910,222","±49,354","17.5%","±0.1"
"        $75,000 to $99,999","14,937,330","±47,276","12.5%","±0.1"
"        $100,000 to $149,999","17,533,125","±82,756","14.6%","±0.1"
"        $150,000 to $199,999","7,513,313","±42,617","6.3%","±0.1"
"        $200,000 or more","8,355,566","±47,620","7.0%","±0.1"
"        Median household income (dollars)","60,293","±140","(X)","(X)"
"        Mean household income (dollars)","84,938","±164","(X)","(X)"
"        With earnings","93,010,497","±202,738","77.7%","±0.1"
"            Mean earnings (dollars)","86,966","±164","(X)","(X)"
"        With Social Security","37,017,540","±83,238","30.9%","±0.1"
"            Mean Social Security income (dollars)","19,346","±15","(X)","(X)"
"        With retirement income","22,256,123","±101,736","18.6%","±0.1"
"            Mean retirement income (dollars)","26,805","±53","(X)","(X)"
"        With Supplemental Security Income","6,449,860","±13,595","5.4%","±0.1"
"            Mean Supplemental Security Income (dollars)","9,963","±18","(X)","(X)"
"        With cash public assistance income","2,939,063","±17,343","2.5%","±0.1"
"            Mean cash public assistance income (dollars)","3,183","±22","(X)","(X)"
"        With Food Stamp/SNAP benefits in the past 12 months","14,635,287","±36,652","12.2%","±0.1"
"    Families","78,697,103","±218,118","78,697,103","(X)"
"        Less than $10,000","3,094,975","±13,776","3.9%","±0.1"
"        $10,000 to $14,999","2,023,720","±12,388","2.6%","±0.1"
"        $15,000 to $24,999","5,191,714","±21,668","6.6%","±0.1"
"        $25,000 to $34,999","6,172,855","±19,237","7.8%","±0.1"
"        $35,000 to $49,999","9,277,026","±19,480","11.8%","±0.1"
"        $50,000 to $74,999","14,137,929","±40,577","18.0%","±0.1"
"        $75,000 to $99,999","11,193,903","±48,389","14.2%","±0.1"
"        $100,000 to $149,999","14,115,145","±86,455","17.9%","±0.1"
"        $150,000 to $199,999","6,336,183","±45,341","8.1%","±0.1"
"        $200,000 or more","7,153,653","±49,743","9.1%","±0.1"
